w1,w2,w3,d1,d2,d3,scenario_number
1.0,9.0,26.0,14,70,189,673
1.0,9.0,27.0,14,70,196,674
1.0,9.0,28.0,14,70,203,675
1.0,9.0,29.0,14,70,210,676
1.0,9.0,30.0,14,70,217,677
1.0,9.0,31.0,14,70,224,678
1.0,9.0,32.0,14,70,231,679
1.0,9.0,33.0,14,70,238,680
1.0,9.0,34.0,14,70,245,681
1.0,9.0,35.0,14,70,252,682
1.0,9.0,36.0,14,70,259,683
1.0,9.0,37.0,14,70,266,684
1.0,9.0,38.0,14,70,273,685
1.0,9.0,39.0,14,70,280,686
1.0,9.0,40.0,14,70,287,687
1.0,9.0,41.0,14,70,294,688
1.0,9.0,42.0,14,70,301,689
1.0,9.0,43.0,14,70,308,690
